17
# x z
0.2	1
0.3	1
0.4	1
0.5	1
0.6	1
0.7	1
0.8	1
0.9	1
1	1
1.1	1
1.2	1
1.3	1
1.4	1
1.5	1
1.6	1
1.7	1
1.8	1
56
# a b m n rhoa k err
1	4	2	3	1.45394218685925e+03	1.25617037546622e+00	-1.07349755742225e+02
2	5	3	4	1.33330851721085e+03	1.25617037546622e+00	-2.26577028056461e+02
3	6	4	5	1.43759441307711e+03	1.25617037546621e+00	-1.20041043610053e+02
4	7	5	6	1.57443935958180e+03	1.25617037546622e+00	2.05663050956369e+01
5	8	6	7	1.58792514647688e+03	1.25617037546621e+00	4.06950594799703e+01
6	9	7	8	1.66944370893722e+03	1.25617037546621e+00	1.34159262085117e+02
7	10	8	9	1.65481924572703e+03	1.25617037546622e+00	1.41721910386660e+02
8	11	9	10	1.45037982660128e+03	1.25617037546621e+00	-2.15039364069322e+01
9	12	10	11	1.57855816888866e+03	1.25617037546622e+00	1.85497888751951e+02
10	13	11	12	1.13155648444155e+03	1.25617037546621e+00	-1.07945739946611e+02
11	14	12	13	9.01627977602992e+02	1.25617037546621e+00	-9.69506070285198e+01
12	15	13	14	6.46191497358398e+02	1.25617037546622e+00	-5.91283413418731e+01
13	16	14	15	4.11207866690687e+02	1.25617037546621e+00	1.51967396571835e+01
14	17	15	16	1.98002747540555e+02	1.25617037546622e+00	2.13958123862821e+01
1	6	3	4	1.58354581657036e+03	3.76302390528005e+00	4.65041467639179e+01
2	7	4	5	1.63322497601889e+03	3.76302390528004e+00	1.05585026432895e+02
3	8	5	6	1.58149341335410e+03	3.76302390528005e+00	6.86117748401065e+01
4	9	6	7	1.64579315163532e+03	3.76302390528004e+00	1.57094431223452e+02
5	10	7	8	1.69220582247634e+03	3.76302390528004e+00	2.43349741202224e+02
6	11	8	9	1.62422758588555e+03	3.76302390528005e+00	2.40437760980050e+02
7	12	9	10	1.26015873794749e+03	3.76302390528004e+00	-2.31995977982237e+01
8	13	10	11	1.24948217182253e+03	3.76302390528005e+00	1.14860720719713e+02
9	14	11	12	9.47287881494862e+02	3.76302390528004e+00	-1.32372806374332e+00
10	15	12	13	8.50729127050031e+02	3.76302390528004e+00	9.71014459411303e+01
11	16	13	14	5.43035482221667e+02	3.76302390528005e+00	1.79946137757333e+01
12	17	14	15	2.37397156661936e+02	3.76302390528004e+00	-4.40248022994051e+01
1	8	4	5	1.63679325920321e+03	7.50221073798952e+00	1.72311953529300e+02
2	9	5	6	1.50580116976956e+03	7.50221073798953e+00	7.67448877583859e+01
3	10	6	7	1.48688813229008e+03	7.50221073798952e+00	1.13212031246542e+02
4	11	7	8	1.14336650360217e+03	7.50221073798951e+00	-1.46780588698427e+02
5	12	8	9	1.08447156950226e+03	7.50221073798953e+00	-8.81639857605003e+01
6	13	9	10	1.18083807074111e+03	7.50221073798952e+00	1.51798415807950e+02
7	14	10	11	9.29856117429378e+02	7.50221073798953e+00	4.44598220102829e+01
8	15	11	12	8.38764503033863e+02	7.50221073798951e+00	7.23667923139933e+01
9	16	12	13	6.39990292118616e+02	7.50221073798951e+00	1.38086444906851e+01
10	17	13	14	4.27839819171184e+02	7.50221073798953e+00	3.65912684670041e+00
1	10	5	6	1.25379641698946e+03	1.24365556631646e+01	-4.93462264938276e+01
2	11	6	7	1.24828170065725e+03	1.24365556631646e+01	3.89664552508479e+01
3	12	7	8	1.19488303019476e+03	1.24365556631646e+01	1.09132849043167e+02
4	13	8	9	7.57253443088015e+02	1.24365556631646e+01	-1.87979358836818e+02
5	14	9	10	9.38878325799014e+02	1.24365556631646e+01	1.12394896453298e+02
6	15	10	11	6.07181122928437e+02	1.24365556631646e+01	-1.40971686011156e+02
7	16	11	12	5.05635308105137e+02	1.24365556631646e+01	-1.68692428182715e+02
8	17	12	13	5.44802726931675e+02	1.24365556631646e+01	-6.25660958858661e+00
1	12	6	7	9.79713473463881e+02	1.85076398169514e+01	-4.51805403913163e+01
2	13	7	8	9.43397541039427e+02	1.85076398169514e+01	5.10536117043515e+01
3	14	8	9	8.86628407763268e+02	1.85076398169514e+01	1.03545667908190e+02
4	15	9	10	7.02523734495970e+02	1.85076398169514e+01	-1.81161776766658e+01
5	16	10	11	6.17971415653509e+02	1.85076398169514e+01	-5.72005419848374e+01
6	17	11	12	6.47605297670013e+02	1.85076398169514e+01	3.77174444602921e+01
1	14	7	8	7.97658935611598e+02	2.56373663799356e+01	3.40033949031036e+01
2	15	8	9	7.07396852651026e+02	2.56373663799356e+01	6.24112651339289e+00
3	16	9	10	7.28899295349272e+02	2.56373663799356e+01	6.67383017234553e+01
4	17	10	11	5.81676366336244e+02	2.56373663799356e+01	-3.81205855112222e+01
1	16	8	9	6.64128479456444e+02	3.37330023963436e+01	8.56582281757451e+00
2	17	9	10	7.22647720388333e+02	3.37330023963435e+01	1.05830618836197e+02
0
